rrp,4 : 0.07 secs
rrp,16 : 8.70 secs
exploit/b=False,20 : 2.39 secs
exploit/b=True,20 : 6.81 secs
exploit/b=False,30 : 3.04 secs
exploit/b=True,30 : 6.56 secs
exploit/b=False,40 : 3.58 secs
exploit/b=True,40 : 6.18 secs
rrp,4 : 0.02 secs
rrp,14 : 3.00 secs
explore/b=False,20 : 0.95 secs
explore/b=True,20 : 3.31 secs
explore/b=False,30 : 1.44 secs
explore/b=True,30 : 3.41 secs
explore/b=False,40 : 1.87 secs
explore/b=True,40 : 3.72 secs
#
 0,         explore/b=True,40,  0.07,  0.06,  - * -              |                   ,  0.04,  0.05,  0.07,  0.12,  0.16
#
 1,         exploit/b=True,40,  0.12,  0.05, ---  *-             |                   ,  0.02,  0.09,  0.12,  0.14,  0.18
 1,         explore/b=True,30,  0.12,  0.06, ---  *--            |                   ,  0.02,  0.09,  0.12,  0.15,  0.20
#
 2,        explore/b=False,30,  0.13,  0.03,    --*-             |                   ,  0.07,  0.13,  0.13,  0.15,  0.17
 2,         exploit/b=True,30,  0.14,  0.07,   -  *-             |                   ,  0.05,  0.09,  0.14,  0.16,  0.18
 2,        explore/b=False,40,  0.14,  0.03,   --- *             |                   ,  0.05,  0.13,  0.14,  0.16,  0.18
 2,         exploit/b=True,20,  0.15,  0.04,   ----*-------------|                   ,  0.05,  0.14,  0.15,  0.18,  0.47
 2,        exploit/b=False,30,  0.15,  0.03,    ---*             |                   ,  0.07,  0.14,  0.15,  0.17,  0.18
 2,        exploit/b=False,40,  0.16,  0.04,       *--           |                   ,  0.12,  0.13,  0.16,  0.17,  0.23
 2,        exploit/b=False,20,  0.17,  0.06,    --  *-           |                   ,  0.07,  0.13,  0.17,  0.19,  0.21
 2,         explore/b=True,20,  0.17,  0.05,      - *--          |                   ,  0.13,  0.14,  0.17,  0.19,  0.25
#
 3,        explore/b=False,20,  0.19,  0.06,      -  *---        |                   ,  0.13,  0.15,  0.19,  0.21,  0.29
#
 4,                     rrp,4,  0.20,  0.10,       - *   ------  |                   ,  0.16,  0.18,  0.20,  0.28,  0.42
#
 5,                     rrp,4,  0.31,  0.10,        ---   *------|                   ,  0.18,  0.23,  0.31,  0.33,  0.47
 5,                    rrp,16,  0.32,  0.20,       ---    *   ---|                   ,  0.16,  0.21,  0.32,  0.41,  0.49
#
 6,                    rrp,14,  0.42,  0.11,           -----   * |-----              ,  0.24,  0.37,  0.42,  0.48,  0.61
#
 7,                 asIs,4653,  0.48,  0.13,                ---  *  ----------       ,  0.35,  0.42,  0.48,  0.55,  0.76
