rrp,4 : 0.02 secs
rrp,14 : 1.23 secs
exploit/b=False,20 : 0.58 secs
exploit/b=True,20 : 1.40 secs
exploit/b=False,30 : 0.98 secs
exploit/b=True,30 : 1.87 secs
exploit/b=False,40 : 1.40 secs
exploit/b=True,40 : 2.36 secs
rrp,4 : 0.03 secs
rrp,15 : 1.26 secs
explore/b=False,20 : 0.58 secs
explore/b=True,20 : 1.32 secs
explore/b=False,30 : 0.87 secs
explore/b=True,30 : 1.57 secs
explore/b=False,40 : 1.15 secs
explore/b=True,40 : 1.72 secs
#
 0,        exploit/b=False,40,  0.07,  0.01, -- *                |                   ,  0.00,  0.07,  0.07,  0.08,  0.09
 0,         exploit/b=True,40,  0.07,  0.01,    *                |                   ,  0.06,  0.07,  0.07,  0.08,  0.10
 0,         exploit/b=True,30,  0.07,  0.01,   -*                |                   ,  0.07,  0.07,  0.07,  0.09,  0.10
 0,        exploit/b=False,30,  0.08,  0.05,    *---------       |                   ,  0.06,  0.07,  0.08,  0.12,  0.33
#
 1,        exploit/b=False,20,  0.09,  0.03,   -*-               |                   ,  0.07,  0.08,  0.09,  0.10,  0.13
 1,         explore/b=True,40,  0.09,  0.02,    *-               |                   ,  0.07,  0.09,  0.09,  0.11,  0.13
 1,        explore/b=False,20,  0.10,  0.04,    *                |                   ,  0.07,  0.09,  0.10,  0.13,  0.14
 1,         exploit/b=True,20,  0.10,  0.02,    *-               |                   ,  0.07,  0.09,  0.10,  0.10,  0.13
 1,         explore/b=True,30,  0.10,  0.04,    * -              |                   ,  0.08,  0.09,  0.10,  0.13,  0.15
#
 2,         explore/b=True,20,  0.11,  0.05,     *-              |                   ,  0.08,  0.09,  0.11,  0.14,  0.15
 2,        explore/b=False,30,  0.12,  0.02,    -*               |                   ,  0.09,  0.11,  0.12,  0.12,  0.14
 2,        explore/b=False,40,  0.12,  0.05,   - *----           |                   ,  0.06,  0.08,  0.12,  0.13,  0.24
#
 3,                     rrp,4,  0.15,  0.11,    --*    ------    |                   ,  0.10,  0.14,  0.15,  0.25,  0.40
 3,                     rrp,4,  0.16,  0.21,    -- *       -     |                   ,  0.09,  0.14,  0.16,  0.35,  0.39
#
 4,                 asIs,1512,  0.18,  0.09,     -- * ------     |                   ,  0.12,  0.15,  0.18,  0.24,  0.39
#
 5,                    rrp,15,  0.41,  0.32,      ----       *   | ---------         ,  0.15,  0.24,  0.41,  0.56,  0.79
 5,                    rrp,14,  0.43,  0.36,     --           *  |----------         ,  0.11,  0.16,  0.43,  0.52,  0.78
