rrp,4 : 0.05 secs
rrp,13 : 3.94 secs
exploit/b=False,20 : 0.99 secs
exploit/b=True,20 : 4.17 secs
exploit/b=False,30 : 1.75 secs
exploit/b=True,30 : 4.30 secs
exploit/b=False,40 : 1.93 secs
exploit/b=True,40 : 4.08 secs
rrp,4 : 0.03 secs
rrp,12 : 2.65 secs
explore/b=False,20 : 0.69 secs
explore/b=True,20 : 2.62 secs
explore/b=False,30 : 1.07 secs
explore/b=True,30 : 3.07 secs
explore/b=False,40 : 1.42 secs
explore/b=True,40 : 3.14 secs
#
 0,         explore/b=True,40,  0.07,  0.03,  *-                 |                   ,  0.03,  0.05,  0.07,  0.08,  0.12
 0,         exploit/b=True,40,  0.08,  0.03, -*--------          |                   ,  0.04,  0.06,  0.08,  0.09,  0.28
 0,         exploit/b=True,30,  0.08,  0.04, - *                 |                   ,  0.04,  0.06,  0.08,  0.09,  0.11
#
 1,         exploit/b=True,20,  0.09,  0.03,  -*------           |                   ,  0.07,  0.09,  0.09,  0.11,  0.26
 1,        exploit/b=False,30,  0.10,  0.18,  -*      -----------|--------           ,  0.06,  0.08,  0.10,  0.26,  0.74
 1,        exploit/b=False,40,  0.10,  0.20, --*       ----------|-----------        ,  0.05,  0.09,  0.10,  0.29,  0.82
 1,         explore/b=True,30,  0.10,  0.03,   *-                |                   ,  0.06,  0.08,  0.10,  0.11,  0.15
 1,         explore/b=True,20,  0.10,  0.06, -  *                |                   ,  0.03,  0.06,  0.10,  0.12,  0.14
#
 2,        exploit/b=False,20,  0.27,  0.22,   -      *  --------|-----              ,  0.08,  0.11,  0.27,  0.33,  0.68
#
 3,        explore/b=False,30,  0.32,  0.28,   --        *  -----|-----              ,  0.09,  0.14,  0.32,  0.41,  0.67
 3,        explore/b=False,40,  0.33,  0.32,    ---      *      -|----------         ,  0.12,  0.19,  0.33,  0.51,  0.79
#
 4,        explore/b=False,20,  0.41,  0.31,    --          *  --|-----------        ,  0.10,  0.16,  0.41,  0.47,  0.82
#
 5,                     rrp,4,  0.53,  0.39,           ------    *                   ,  0.28,  0.44,  0.53,  0.83,  0.84
 5,                    rrp,13,  0.53,  0.45,   -------------     *            ---    ,  0.09,  0.40,  0.53,  0.84,  0.92
#
 6,                     rrp,4,  0.67,  0.33,            ----     |     * -----       ,  0.30,  0.40,  0.67,  0.73,  0.84
 6,                    rrp,12,  0.73,  0.38,     -------------   |       *   -       ,  0.13,  0.44,  0.73,  0.83,  0.84
#
 7,                 asIs,3840,  0.85,  0.04,                     |            * ---- ,  0.84,  0.84,  0.85,  0.88,  0.99
