rrp,4 : 0.05 secs
rrp,13 : 4.20 secs
exploit/b=False,20 : 1.02 secs
exploit/b=True,20 : 4.77 secs
exploit/b=False,30 : 1.70 secs
exploit/b=True,30 : 4.41 secs
exploit/b=False,40 : 1.89 secs
exploit/b=True,40 : 4.57 secs
rrp,4 : 0.03 secs
rrp,14 : 2.98 secs
explore/b=False,20 : 0.64 secs
explore/b=True,20 : 3.22 secs
explore/b=False,30 : 1.06 secs
explore/b=True,30 : 3.19 secs
explore/b=False,40 : 1.39 secs
explore/b=True,40 : 2.95 secs
#
 0,         exploit/b=True,40,  0.01,  0.02, *-                  |                   ,  0.00,  0.01,  0.01,  0.02,  0.04
 0,        explore/b=False,30,  0.01,  0.02, *--                 |                   ,  0.00,  0.01,  0.01,  0.03,  0.07
 0,         explore/b=True,30,  0.01,  0.02, *-                  |                   ,  0.01,  0.01,  0.01,  0.03,  0.04
 0,         explore/b=True,40,  0.01,  0.02, *-                  |                   ,  0.00,  0.00,  0.01,  0.02,  0.05
#
 1,        exploit/b=False,40,  0.02,  0.02,  *                  |                   ,  0.00,  0.01,  0.02,  0.03,  0.04
 1,         explore/b=True,20,  0.02,  0.02,  *                  |                   ,  0.00,  0.01,  0.02,  0.03,  0.05
 1,         exploit/b=True,30,  0.03,  0.02,  *                  |                   ,  0.01,  0.02,  0.03,  0.04,  0.05
 1,         exploit/b=True,20,  0.03,  0.03,  *--                |                   ,  0.01,  0.01,  0.03,  0.04,  0.09
 1,        explore/b=False,40,  0.03,  0.03,  *--                |                   ,  0.01,  0.02,  0.03,  0.05,  0.09
 1,        exploit/b=False,30,  0.03,  0.04,  *--                |                   ,  0.01,  0.01,  0.03,  0.04,  0.08
 1,        explore/b=False,20,  0.03,  0.02, -*------            |                   ,  0.01,  0.02,  0.03,  0.05,  0.15
 1,        exploit/b=False,20,  0.04,  0.04,   *-                |                   ,  0.00,  0.01,  0.04,  0.05,  0.08
#
 2,                     rrp,4,  0.08,  0.11,  -  *    -          |                   ,  0.04,  0.05,  0.08,  0.16,  0.18
 2,                     rrp,4,  0.15,  0.11,         *------     |                   ,  0.05,  0.05,  0.15,  0.16,  0.28
 2,                    rrp,14,  0.15,  0.09, ---     *-----------|------             ,  0.01,  0.07,  0.15,  0.16,  0.48
 2,                 asIs,3840,  0.15,  0.04, ------  *           |                   ,  0.02,  0.12,  0.15,  0.16,  0.16
 2,                    rrp,13,  0.15,  0.15,   ---   *     ------|---------------    ,  0.04,  0.10,  0.15,  0.25,  0.62
