rrp,4 : 0.13 secs
rrp,18 : 24.11 secs
exploit/b=False,20 : 1.96 secs
exploit/b=True,20 : 14.56 secs
exploit/b=False,30 : 1.89 secs
exploit/b=True,30 : 9.94 secs
exploit/b=False,40 : 2.17 secs
exploit/b=True,40 : 9.98 secs
rrp,4 : 0.04 secs
rrp,16 : 7.96 secs
explore/b=False,20 : 0.86 secs
explore/b=True,20 : 8.00 secs
explore/b=False,30 : 1.38 secs
explore/b=True,30 : 8.04 secs
explore/b=False,40 : 1.63 secs
explore/b=True,40 : 7.61 secs
#
 0,         exploit/b=True,40,  0.10,  0.06, -- *--              |                   ,  0.04,  0.07,  0.10,  0.12,  0.17
#
 1,         exploit/b=True,30,  0.12,  0.09, --  *--             |                   ,  0.03,  0.07,  0.12,  0.16,  0.20
 1,        exploit/b=False,40,  0.12,  0.08,     *---            |                   ,  0.07,  0.08,  0.12,  0.16,  0.22
 1,         explore/b=True,30,  0.12,  0.03,   - *----           |                   ,  0.08,  0.11,  0.12,  0.14,  0.26
 1,         explore/b=True,40,  0.13,  0.07,  -- *-              |                   ,  0.04,  0.09,  0.13,  0.16,  0.19
 1,        explore/b=False,40,  0.13,  0.05,   - *---            |                   ,  0.08,  0.11,  0.13,  0.16,  0.22
 1,        exploit/b=False,30,  0.14,  0.09,  -  * ---           |                   ,  0.06,  0.08,  0.14,  0.17,  0.24
 1,        exploit/b=False,20,  0.14,  0.05,   -- *--            |                   ,  0.08,  0.12,  0.14,  0.17,  0.24
 1,        explore/b=False,30,  0.15,  0.05,   -- *--            |                   ,  0.07,  0.12,  0.15,  0.17,  0.22
#
 2,         explore/b=True,20,  0.16,  0.09,   -  * --           |                   ,  0.07,  0.11,  0.16,  0.19,  0.24
#
 3,         exploit/b=True,20,  0.18,  0.10,   --- *  -----------|                   ,  0.09,  0.14,  0.18,  0.25,  0.52
#
 4,        explore/b=False,20,  0.24,  0.08,      -  *----       |                   ,  0.14,  0.18,  0.24,  0.26,  0.36
#
 5,                     rrp,4,  0.30,  0.11,          - *  ----  |                   ,  0.24,  0.27,  0.30,  0.38,  0.48
#
 6,                    rrp,18,  0.34,  0.08,          --  *----- |                   ,  0.25,  0.29,  0.34,  0.38,  0.50
 6,                     rrp,4,  0.34,  0.14,         --   *  ----|                   ,  0.23,  0.28,  0.34,  0.43,  0.53
 6,                    rrp,16,  0.38,  0.21,         --    *   --|--                 ,  0.22,  0.27,  0.38,  0.48,  0.60
#
 7,                asIs,10000,  0.45,  0.15,          -----   *  |----               ,  0.25,  0.36,  0.45,  0.51,  0.64
