rrp,4 : 0.01 secs
rrp,10 : 0.98 secs
exploit/b=False,20 : 1.10 secs
exploit/b=True,20 : 1.60 secs
exploit/b=False,30 : 1.80 secs
exploit/b=True,30 : 2.38 secs
exploit/b=False,40 : 2.75 secs
exploit/b=True,40 : 2.97 secs
rrp,4 : 0.01 secs
rrp,11 : 0.83 secs
explore/b=False,20 : 0.96 secs
explore/b=True,20 : 1.28 secs
explore/b=False,30 : 1.48 secs
explore/b=True,30 : 1.90 secs
explore/b=False,40 : 2.01 secs
explore/b=True,40 : 2.18 secs
#
 0,         exploit/b=True,40,  0.18,  0.04, * -                 |                   ,  0.17,  0.17,  0.18,  0.21,  0.23
 0,         exploit/b=True,30,  0.18,  0.03, *-----              |                   ,  0.17,  0.18,  0.18,  0.20,  0.29
#
 1,         exploit/b=True,20,  0.21,  0.05,   *----             |                   ,  0.17,  0.17,  0.21,  0.22,  0.33
 1,         explore/b=True,40,  0.21,  0.03, - *-----            |                   ,  0.17,  0.20,  0.21,  0.22,  0.34
 1,        exploit/b=False,40,  0.22,  0.04, - *----             |                   ,  0.18,  0.20,  0.22,  0.24,  0.33
 1,         explore/b=True,30,  0.22,  0.06, - * --              |                   ,  0.17,  0.20,  0.22,  0.25,  0.31
 1,        exploit/b=False,30,  0.22,  0.05, - * -------         |                   ,  0.17,  0.20,  0.22,  0.25,  0.40
#
 2,         explore/b=True,20,  0.25,  0.08, --  * --            |                   ,  0.18,  0.22,  0.25,  0.30,  0.35
#
 3,        explore/b=False,30,  0.26,  0.05,   - *---            |                   ,  0.22,  0.23,  0.26,  0.28,  0.34
 3,        explore/b=False,40,  0.26,  0.08,   --*  --           |                   ,  0.23,  0.25,  0.26,  0.33,  0.36
#
 4,        exploit/b=False,20,  0.31,  0.13,       * -           |                   ,  0.21,  0.21,  0.31,  0.35,  0.36
 4,        explore/b=False,20,  0.31,  0.07,   --   *---         |                   ,  0.21,  0.26,  0.31,  0.33,  0.41
#
 5,                     rrp,4,  0.40,  0.08,     ----   *---     |                   ,  0.26,  0.35,  0.40,  0.42,  0.48
 5,                     rrp,4,  0.40,  0.07,       ---- * -      |                   ,  0.31,  0.38,  0.40,  0.44,  0.47
 5,                    rrp,11,  0.40,  0.18,   -----    *   ---- |                   ,  0.22,  0.32,  0.40,  0.50,  0.58
#
 6,                    rrp,10,  0.44,  0.08,       -----  * ---  |                   ,  0.31,  0.40,  0.44,  0.49,  0.54
#
 7,                  asIs,972,  0.48,  0.10,            --  *  --|---                ,  0.41,  0.45,  0.48,  0.54,  0.68
